Name,Grade,Percent,Gender,Category
Jamie Davis,9,Male,75.0,Same Grade
Avery Smith,9,Female,70.0,Same Grade
Taylor Taylor,9,Male,65.0,Same Grade
Casey Williams,9,Non-Binary,65.0,Same Grade
Avery Jones,9,Female,65.0,Same Grade
Reese Taylor,9,Male,65.0,Same Grade
Quinn Jones,9,Non-Binary,60.0,Same Grade
Jordan Davis,9,Female,60.0,Same Grade
Casey Miller,9,Female,60.0,Same Grade
Quinn Johnson,9,Male,50.0,Same Grade
Taylor Moore,11,Female,85.0,Different Grade
Taylor Williams,10,Non-Binary,80.0,Different Grade
Jamie Jones,12,Female,80.0,Different Grade
Riley Taylor,10,Female,75.0,Different Grade
Casey Moore,10,Female,75.0,Different Grade
Taylor Williams,10,Non-Binary,80.0,Same Gender
Casey Johnson,12,Non-Binary,75.0,Same Gender
Morgan Williams,11,Non-Binary,75.0,Same Gender
Avery Taylor,12,Non-Binary,75.0,Same Gender
Reese Miller,11,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Avery Wilson,11,Male,50.0,Most Opposite
Quinn Johnson,9,Male,50.0,Most Opposite
