Name,Grade,Gender,Percent,Category
Morgan Williams,11,Non-Binary,80.0,Same Grade
Reese Miller,11,Non-Binary,75.0,Same Grade
Taylor Miller,11,Female,70.0,Same Grade
Taylor Moore,11,Female,70.0,Same Grade
Morgan Moore,11,Male,65.0,Same Grade
Jordan Miller,11,Female,60.0,Same Grade
Avery Smith,11,Non-Binary,60.0,Same Grade
Avery Wilson,11,Male,55.00000000000001,Same Grade
Reese Williams,11,Non-Binary,55.00000000000001,Same Grade
Riley Moore,11,Non-Binary,55.00000000000001,Same Grade
Jamie Miller,10,Male,90.0,Different Grade
Quinn Brown,10,Female,85.0,Different Grade
Jordan Taylor,12,Male,85.0,Different Grade
Casey Moore,10,Female,80.0,Different Grade
Casey Johnson,12,Non-Binary,80.0,Different Grade
Jamie Miller,10,Male,90.0,Same Gender
Jordan Taylor,12,Male,85.0,Same Gender
Taylor Taylor,9,Male,70.0,Same Gender
Jordan Smith,10,Male,70.0,Same Gender
Jamie Davis,9,Male,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Smith,9,Non-Binary,45.0,Most Opposite
Casey Williams,9,Non-Binary,50.0,Most Opposite
