Name,Grade,Gender,Percent,Category
Jordan Smith,10,Male,75.0,Same Grade
Quinn Davis,10,Female,75.0,Same Grade
Quinn Brown,10,Female,70.0,Same Grade
Riley Taylor,10,Female,65.0,Same Grade
Casey Brown,10,Female,65.0,Same Grade
Taylor Taylor,10,Female,65.0,Same Grade
Jamie Miller,10,Male,65.0,Same Grade
Riley Brown,10,Female,65.0,Same Grade
Jordan Davis,10,Male,60.0,Same Grade
Casey Johnson,10,Non-Binary,60.0,Same Grade
Taylor Johnson,12,Non-Binary,85.0,Different Grade
Avery Wilson,11,Male,80.0,Different Grade
Quinn Jones,9,Non-Binary,80.0,Different Grade
Quinn Johnson,9,Male,80.0,Different Grade
Jordan Miller,11,Female,75.0,Different Grade
Jordan Miller,11,Female,75.0,Same Gender
Quinn Davis,10,Female,75.0,Same Gender
Quinn Brown,10,Female,70.0,Same Gender
Jordan Davis,9,Female,70.0,Same Gender
Riley Taylor,10,Female,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Morgan Miller,10,Female,45.0,Most Opposite
Morgan Moore,10,Male,50.0,Most Opposite
