Name,Grade,Percent,Category
Oliver Johnson,9,93.33,Same Grade
Oliver Smith,9,93.33,Same Grade
Oliver Smith,9,80.0,Same Grade
Olivia Williams,9,80.0,Same Grade
Noah Jones,9,73.33,Same Grade
Oliver Johnson,9,73.33,Same Grade
James Williams,9,73.33,Same Grade
Oliver Smith,9,73.33,Same Grade
William Johnson,9,73.33,Same Grade
Oliver Brown,9,66.67,Same Grade
Sophia Johnson,9,66.67,Same Grade
Oliver Jones,9,66.67,Same Grade
James Williams,9,66.67,Same Grade
James Smith,9,66.67,Same Grade
Oliver Jones,9,66.67,Same Grade
Olivia Williams,11,100.0,Different Grade
Sophia Williams,12,93.33,Different Grade
Ava Johnson,12,86.67,Different Grade
Liam Smith,12,86.67,Different Grade
James Johnson,11,86.67,Different Grade
Sophia Jones,12,80.0,Different Grade
Liam Williams,10,80.0,Different Grade
Liam Jones,10,80.0,Different Grade
William Jones,12,80.0,Different Grade
Ava Brown,10,80.0,Different Grade
