Name,Grade,Percent,Category
Oliver Jones,12,80.0,Same Grade
William Brown,12,80.0,Same Grade
James Jones,12,80.0,Same Grade
Oliver Brown,12,80.0,Same Grade
Oliver Jones,12,80.0,Same Grade
William Williams,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
William Jones,12,73.33,Same Grade
William Jones,12,73.33,Same Grade
Liam Williams,12,66.67,Same Grade
Olivia Smith,12,66.67,Same Grade
William Brown,12,66.67,Same Grade
Sophia Jones,12,66.67,Same Grade
Olivia Jones,12,66.67,Same Grade
Ava Smith,12,66.67,Same Grade
James Johnson,9,93.33,Different Grade
Liam Smith,9,93.33,Different Grade
Ava Johnson,9,86.67,Different Grade
James Johnson,10,86.67,Different Grade
Olivia Smith,10,86.67,Different Grade
Ava Williams,11,86.67,Different Grade
James Jones,11,86.67,Different Grade
Liam Johnson,10,86.67,Different Grade
Oliver Jones,9,86.67,Different Grade
William Williams,11,80.0,Different Grade
