Name,Grade,Percent,Category
Isabella Brown,12,73.33,Same Grade
Isabella Johnson,12,73.33,Same Grade
Isabella Brown,12,73.33,Same Grade
William Smith,12,73.33,Same Grade
Emma Williams,12,66.67,Same Grade
Sophia Johnson,12,66.67,Same Grade
Sophia Johnson,12,66.67,Same Grade
Liam Brown,12,66.67,Same Grade
Emma Jones,12,66.67,Same Grade
Isabella Johnson,12,60.0,Same Grade
Isabella Smith,12,60.0,Same Grade
Isabella Jones,12,60.0,Same Grade
Oliver Smith,12,60.0,Same Grade
Noah Jones,12,60.0,Same Grade
Isabella Johnson,12,60.0,Same Grade
James Johnson,9,86.67,Different Grade
Ava Brown,9,86.67,Different Grade
Liam Brown,11,86.67,Different Grade
Noah Williams,11,86.67,Different Grade
Oliver Williams,9,80.0,Different Grade
Isabella Williams,9,80.0,Different Grade
Emma Smith,11,80.0,Different Grade
Olivia Brown,9,80.0,Different Grade
Emma Jones,10,80.0,Different Grade
Sophia Johnson,11,73.33,Different Grade
