Name,Grade,Percent,Category
Oliver Brown,10,86.67,Same Grade
Noah Smith,10,80.0,Same Grade
Isabella Williams,10,80.0,Same Grade
Oliver Brown,10,80.0,Same Grade
William Smith,10,73.33,Same Grade
Liam Smith,10,73.33,Same Grade
William Williams,10,73.33,Same Grade
William Williams,10,73.33,Same Grade
Emma Johnson,10,73.33,Same Grade
Sophia Jones,10,73.33,Same Grade
Sophia Jones,10,66.67,Same Grade
Noah Brown,10,66.67,Same Grade
Oliver Smith,10,66.67,Same Grade
James Brown,10,66.67,Same Grade
Olivia Brown,10,66.67,Same Grade
Sophia Brown,11,93.33,Different Grade
Oliver Jones,11,86.67,Different Grade
Sophia Jones,12,86.67,Different Grade
Liam Jones,11,86.67,Different Grade
William Smith,11,86.67,Different Grade
James Jones,9,86.67,Different Grade
Oliver Jones,9,86.67,Different Grade
Liam Brown,12,86.67,Different Grade
Oliver Jones,11,86.67,Different Grade
Emma Williams,9,86.67,Different Grade
