Name,Grade,Percent,Category
Liam Williams,10,80.0,Same Grade
Liam Smith,10,80.0,Same Grade
Olivia Smith,10,80.0,Same Grade
William Williams,10,80.0,Same Grade
Noah Jones,10,80.0,Same Grade
Emma Johnson,10,80.0,Same Grade
Liam Johnson,10,80.0,Same Grade
Liam Johnson,10,80.0,Same Grade
James Jones,10,80.0,Same Grade
Noah Smith,10,73.33,Same Grade
Noah Johnson,10,73.33,Same Grade
William Brown,10,73.33,Same Grade
James Brown,10,73.33,Same Grade
James Brown,10,73.33,Same Grade
Noah Smith,10,73.33,Same Grade
Liam Jones,9,100.0,Different Grade
William Smith,9,93.33,Different Grade
James Brown,11,86.67,Different Grade
Liam Jones,9,86.67,Different Grade
Oliver Brown,11,86.67,Different Grade
Liam Smith,9,86.67,Different Grade
Noah Williams,9,86.67,Different Grade
Emma Johnson,11,86.67,Different Grade
Isabella Williams,9,86.67,Different Grade
William Smith,12,86.67,Different Grade
