Name,Grade,Percent,Gender,Category
Taylor Taylor,9,Male,80.0,Same Grade
Jamie Davis,9,Male,80.0,Same Grade
Avery Smith,9,Female,75.0,Same Grade
Alex Davis,9,Non-Binary,65.0,Same Grade
Quinn Jones,9,Non-Binary,65.0,Same Grade
Jordan Davis,9,Female,65.0,Same Grade
Quinn Smith,9,Non-Binary,65.0,Same Grade
Casey Williams,9,Non-Binary,60.0,Same Grade
Reese Taylor,9,Male,60.0,Same Grade
Quinn Johnson,9,Male,55.00000000000001,Same Grade
Jordan Smith,10,Male,80.0,Different Grade
Avery Taylor,12,Non-Binary,80.0,Different Grade
Morgan Moore,10,Male,75.0,Different Grade
Reese Miller,11,Non-Binary,75.0,Different Grade
Casey Smith,12,Non-Binary,75.0,Different Grade
Avery Smith,9,Female,75.0,Same Gender
Riley Taylor,10,Female,70.0,Same Gender
Casey Moore,10,Female,70.0,Same Gender
Taylor Moore,11,Female,70.0,Same Gender
Quinn Davis,10,Female,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Riley Moore,11,Non-Binary,45.0,Most Opposite
Jordan Miller,11,Female,50.0,Most Opposite
