Name,Grade,Percent,Gender,Category
Quinn Smith,9,Non-Binary,80.0,Same Grade
Casey Williams,9,Non-Binary,75.0,Same Grade
Jamie Davis,9,Male,75.0,Same Grade
Reese Taylor,9,Male,75.0,Same Grade
Jordan Davis,9,Female,70.0,Same Grade
Casey Miller,9,Female,70.0,Same Grade
Taylor Taylor,9,Male,65.0,Same Grade
Avery Jones,9,Female,65.0,Same Grade
Alex Davis,9,Non-Binary,60.0,Same Grade
Quinn Jones,9,Non-Binary,60.0,Same Grade
Casey Smith,12,Non-Binary,80.0,Different Grade
Reese Williams,11,Non-Binary,80.0,Different Grade
Casey Johnson,10,Non-Binary,80.0,Different Grade
Taylor Taylor,10,Female,75.0,Different Grade
Quinn Davis,10,Female,75.0,Different Grade
Taylor Taylor,10,Female,75.0,Same Gender
Quinn Davis,10,Female,75.0,Same Gender
Morgan Miller,10,Female,75.0,Same Gender
Riley Brown,10,Female,75.0,Same Gender
Jordan Brown,10,Female,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Jones,12,Non-Binary,45.0,Most Opposite
Casey Brown,10,Female,45.0,Most Opposite
