Name,Grade,Percent,Gender,Category
Avery Wilson,12,Non-Binary,70.0,Same Grade
Casey Smith,12,Non-Binary,65.0,Same Grade
Jamie Jones,12,Female,65.0,Same Grade
Jordan Jones,12,Non-Binary,60.0,Same Grade
Morgan Taylor,12,Non-Binary,60.0,Same Grade
Taylor Johnson,12,Non-Binary,60.0,Same Grade
Jamie Davis,12,Male,55.00000000000001,Same Grade
Casey Johnson,12,Non-Binary,50.0,Same Grade
Jordan Taylor,12,Male,45.0,Same Grade
Dylan,12,Male,0.0,Same Grade
Reese Williams,11,Non-Binary,85.0,Different Grade
Casey Williams,9,Non-Binary,80.0,Different Grade
Quinn Jones,9,Non-Binary,75.0,Different Grade
Jordan Davis,9,Female,75.0,Different Grade
Quinn Smith,9,Non-Binary,75.0,Different Grade
Reese Williams,11,Non-Binary,85.0,Same Gender
Casey Williams,9,Non-Binary,80.0,Same Gender
Quinn Jones,9,Non-Binary,75.0,Same Gender
Quinn Smith,9,Non-Binary,75.0,Same Gender
Casey Johnson,10,Non-Binary,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Brown,10,Female,45.0,Most Opposite
Jordan Taylor,12,Male,45.0,Most Opposite
