Name,Grade,Percent,Gender,Category
Alex Williams,10,Female,75.0,Same Grade
Quinn Williams,10,Male,70.0,Same Grade
Quinn Brown,10,Female,65.0,Same Grade
Morgan Moore,10,Male,65.0,Same Grade
Taylor Williams,10,Non-Binary,65.0,Same Grade
Casey Johnson,10,Non-Binary,65.0,Same Grade
Riley Taylor,10,Female,60.0,Same Grade
Taylor Taylor,10,Female,60.0,Same Grade
Jordan Smith,10,Male,60.0,Same Grade
Quinn Davis,10,Female,60.0,Same Grade
Avery Smith,11,Non-Binary,90.0,Different Grade
Morgan Moore,11,Male,85.0,Different Grade
Quinn Johnson,9,Male,85.0,Different Grade
Jordan Miller,11,Female,80.0,Different Grade
Taylor Miller,11,Female,80.0,Different Grade
Jordan Miller,11,Female,80.0,Same Gender
Taylor Miller,11,Female,80.0,Same Gender
Alex Williams,10,Female,75.0,Same Gender
Casey Miller,9,Female,75.0,Same Gender
Quinn Brown,10,Female,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jamie Davis,9,Male,40.0,Most Opposite
Casey Smith,12,Non-Binary,45.0,Most Opposite
