Name,Grade,Gender,Percent,Category
Casey Williams,9,Non-Binary,75.0,Same Grade
Reese Taylor,9,Male,75.0,Same Grade
Jordan Davis,9,Female,70.0,Same Grade
Quinn Johnson,9,Male,70.0,Same Grade
Alex Davis,9,Non-Binary,60.0,Same Grade
Quinn Jones,9,Non-Binary,60.0,Same Grade
Quinn Smith,9,Non-Binary,60.0,Same Grade
Avery Smith,9,Female,60.0,Same Grade
Taylor Taylor,9,Male,55.00000000000001,Same Grade
Jamie Davis,9,Male,55.00000000000001,Same Grade
Taylor Miller,11,Female,85.0,Different Grade
Quinn Williams,10,Male,85.0,Different Grade
Morgan Moore,11,Male,80.0,Different Grade
Taylor Taylor,10,Female,75.0,Different Grade
Quinn Davis,10,Female,75.0,Different Grade
Taylor Miller,11,Female,85.0,Same Gender
Taylor Taylor,10,Female,75.0,Same Gender
Quinn Davis,10,Female,75.0,Same Gender
Riley Brown,10,Female,75.0,Same Gender
Jordan Davis,9,Female,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Riley Taylor,10,Female,45.0,Most Opposite
Jordan Smith,10,Male,45.0,Most Opposite
