Name,Grade,Percent,Gender,Category
Taylor Taylor,10,Female,80.0,Same Grade
Jamie Miller,10,Male,80.0,Same Grade
Riley Brown,10,Female,80.0,Same Grade
Quinn Brown,10,Female,75.0,Same Grade
Taylor Williams,10,Non-Binary,75.0,Same Grade
Quinn Davis,10,Female,70.0,Same Grade
Quinn Williams,10,Male,70.0,Same Grade
Morgan Miller,10,Female,70.0,Same Grade
Morgan Moore,10,Male,65.0,Same Grade
Jordan Brown,10,Female,65.0,Same Grade
Alex Jones,11,Male,80.0,Different Grade
Taylor Moore,11,Female,80.0,Different Grade
Jamie Davis,9,Male,80.0,Different Grade
Morgan Williams,11,Non-Binary,80.0,Different Grade
Alex Davis,9,Non-Binary,75.0,Different Grade
Taylor Taylor,10,Female,80.0,Same Gender
Taylor Moore,11,Female,80.0,Same Gender
Riley Brown,10,Female,80.0,Same Gender
Quinn Brown,10,Female,75.0,Same Gender
Jordan Davis,9,Female,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Jones,9,Non-Binary,45.0,Most Opposite
Avery Smith,11,Non-Binary,50.0,Most Opposite
