Name,Grade,Gender,Percent,Category
Jordan Davis,9,Female,75.0,Same Grade
Quinn Smith,9,Non-Binary,75.0,Same Grade
Casey Miller,9,Female,75.0,Same Grade
Reese Taylor,9,Male,70.0,Same Grade
Alex Davis,9,Non-Binary,65.0,Same Grade
Quinn Jones,9,Non-Binary,65.0,Same Grade
Quinn Johnson,9,Male,65.0,Same Grade
Avery Smith,9,Female,65.0,Same Grade
Taylor Taylor,9,Male,60.0,Same Grade
Jamie Davis,9,Male,60.0,Same Grade
Quinn Williams,10,Male,80.0,Different Grade
Avery Wilson,11,Male,75.0,Different Grade
Morgan Moore,11,Male,75.0,Different Grade
Reese Williams,11,Non-Binary,75.0,Different Grade
Riley Moore,11,Non-Binary,75.0,Different Grade
Reese Williams,11,Non-Binary,75.0,Same Gender
Quinn Smith,9,Non-Binary,75.0,Same Gender
Riley Moore,11,Non-Binary,75.0,Same Gender
Casey Johnson,10,Non-Binary,75.0,Same Gender
Morgan Taylor,12,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Brown,10,Female,45.0,Most Opposite
Alex Jones,11,Male,50.0,Most Opposite
