Name,Grade,Percent,Gender,Category
Jordan Jones,12,Non-Binary,0.0,Same Grade
Morgan Taylor,12,Non-Binary,0.0,Same Grade
Casey Johnson,12,Non-Binary,0.0,Same Grade
Casey Smith,12,Non-Binary,0.0,Same Grade
Jamie Davis,12,Male,0.0,Same Grade
Avery Taylor,12,Non-Binary,0.0,Same Grade
Jordan Taylor,12,Male,0.0,Same Grade
Jamie Jones,12,Female,0.0,Same Grade
Taylor Johnson,12,Non-Binary,0.0,Same Grade
Avery Wilson,12,Non-Binary,0.0,Same Grade
Jordan Miller,11,Female,0.0,Different Grade
Quinn Brown,10,Female,0.0,Different Grade
Alex Davis,9,Non-Binary,0.0,Different Grade
Avery Wilson,11,Male,0.0,Different Grade
Riley Taylor,10,Female,0.0,Different Grade
Avery Wilson,11,Male,0.0,Same Gender
Taylor Taylor,9,Male,0.0,Same Gender
Morgan Moore,11,Male,0.0,Same Gender
Morgan Moore,10,Male,0.0,Same Gender
Alex Jones,11,Male,0.0,Same Gender
Jordan Miller,11,Female,0.0,Most Opposite
Jordan Jones,12,Non-Binary,0.0,Most Opposite
Quinn Brown,10,Female,0.0,Most Opposite
