Name,Grade,Percent,Category
Ava Jones,11,80.0,Same Grade
Sophia Williams,11,80.0,Same Grade
Emma Williams,11,80.0,Same Grade
Noah Williams,11,80.0,Same Grade
William Williams,11,73.33,Same Grade
Oliver Jones,11,73.33,Same Grade
Oliver Smith,11,73.33,Same Grade
Liam Jones,11,73.33,Same Grade
James Johnson,11,73.33,Same Grade
James Johnson,11,73.33,Same Grade
Oliver Jones,11,73.33,Same Grade
Sophia Jones,11,66.67,Same Grade
Sophia Jones,11,66.67,Same Grade
Oliver Brown,11,66.67,Same Grade
William Brown,11,66.67,Same Grade
Sophia Smith,12,93.33,Different Grade
Isabella Johnson,9,86.67,Different Grade
William Williams,10,86.67,Different Grade
Ava Johnson,9,86.67,Different Grade
Noah Jones,9,80.0,Different Grade
Isabella Smith,12,80.0,Different Grade
James Brown,10,80.0,Different Grade
Emma Brown,9,80.0,Different Grade
Oliver Williams,10,80.0,Different Grade
Oliver Jones,12,80.0,Different Grade
