Name,Grade,Percent,Category
Liam Williams,10,93.33,Same Grade
Emma Jones,10,86.67,Same Grade
Noah Johnson,10,80.0,Same Grade
James Brown,10,80.0,Same Grade
James Smith,10,80.0,Same Grade
Ava Williams,10,80.0,Same Grade
Emma Johnson,10,80.0,Same Grade
Emma Johnson,10,73.33,Same Grade
James Johnson,10,73.33,Same Grade
Oliver Williams,10,73.33,Same Grade
Olivia Williams,10,73.33,Same Grade
Sophia Jones,10,73.33,Same Grade
Sophia Brown,10,73.33,Same Grade
Emma Jones,10,66.67,Same Grade
Ava Brown,10,66.67,Same Grade
Emma Jones,11,93.33,Different Grade
Isabella Smith,9,86.67,Different Grade
Olivia Johnson,11,86.67,Different Grade
Liam Johnson,9,86.67,Different Grade
Isabella Jones,12,86.67,Different Grade
Sophia Johnson,12,86.67,Different Grade
Isabella Brown,12,86.67,Different Grade
Noah Jones,11,80.0,Different Grade
Sophia Jones,11,80.0,Different Grade
William Smith,11,80.0,Different Grade
