Name,Grade,Percent,Category
James Jones,11,93.33,Same Grade
Noah Jones,11,86.67,Same Grade
William Smith,11,86.67,Same Grade
Sophia Brown,11,80.0,Same Grade
William Smith,11,80.0,Same Grade
Emma Jones,11,80.0,Same Grade
Liam Johnson,11,80.0,Same Grade
William Williams,11,80.0,Same Grade
Olivia Johnson,11,73.33,Same Grade
Oliver Brown,11,73.33,Same Grade
Ava Jones,11,73.33,Same Grade
James Williams,11,73.33,Same Grade
James Smith,11,73.33,Same Grade
Isabella Williams,11,73.33,Same Grade
Liam Smith,11,66.67,Same Grade
Noah Brown,12,100.0,Different Grade
Liam Johnson,9,93.33,Different Grade
Liam Williams,10,93.33,Different Grade
Emma Johnson,10,93.33,Different Grade
Liam Williams,12,86.67,Different Grade
Noah Johnson,10,86.67,Different Grade
Sophia Smith,9,86.67,Different Grade
Oliver Smith,10,86.67,Different Grade
Olivia Jones,12,86.67,Different Grade
James Smith,12,86.67,Different Grade
