Name,Grade,Percent,Category
Oliver Smith,10,86.67,Same Grade
Isabella Smith,10,86.67,Same Grade
Liam Smith,10,80.0,Same Grade
Olivia Brown,10,80.0,Same Grade
Noah Brown,10,73.33,Same Grade
Noah Smith,10,73.33,Same Grade
Isabella Brown,10,73.33,Same Grade
Olivia Jones,10,73.33,Same Grade
Isabella Brown,10,73.33,Same Grade
James Brown,10,73.33,Same Grade
Sophia Williams,10,73.33,Same Grade
Emma Smith,10,73.33,Same Grade
Sophia Brown,10,73.33,Same Grade
Sophia Brown,10,73.33,Same Grade
Ava Johnson,10,73.33,Same Grade
Sophia Smith,12,93.33,Different Grade
Isabella Johnson,11,86.67,Different Grade
James Smith,9,86.67,Different Grade
James Williams,9,86.67,Different Grade
Sophia Smith,11,80.0,Different Grade
Sophia Johnson,12,80.0,Different Grade
Ava Johnson,11,80.0,Different Grade
William Johnson,11,80.0,Different Grade
Ava Jones,12,80.0,Different Grade
Olivia Williams,12,80.0,Different Grade
