Name,Grade,Percent,Category
Oliver Jones,9,93.33,Same Grade
Noah Jones,9,86.67,Same Grade
James Jones,9,80.0,Same Grade
Sophia Brown,9,80.0,Same Grade
James Jones,9,80.0,Same Grade
Oliver Johnson,9,73.33,Same Grade
Isabella Smith,9,73.33,Same Grade
Noah Williams,9,73.33,Same Grade
Noah Johnson,9,73.33,Same Grade
Oliver Smith,9,73.33,Same Grade
Emma Brown,9,73.33,Same Grade
Ava Jones,9,73.33,Same Grade
Isabella Williams,9,73.33,Same Grade
Ava Johnson,9,66.67,Same Grade
William Smith,9,66.67,Same Grade
Sophia Jones,12,93.33,Different Grade
James Johnson,11,93.33,Different Grade
Ava Brown,12,86.67,Different Grade
James Williams,11,86.67,Different Grade
Sophia Jones,11,86.67,Different Grade
Noah Smith,10,86.67,Different Grade
Sophia Brown,11,86.67,Different Grade
William Smith,10,80.0,Different Grade
Oliver Jones,11,80.0,Different Grade
Oliver Jones,11,80.0,Different Grade
