Name,Grade,Percent,Category
Oliver Brown,12,93.33,Same Grade
Sophia Johnson,12,86.67,Same Grade
Liam Williams,12,80.0,Same Grade
Sophia Jones,12,80.0,Same Grade
Olivia Jones,12,80.0,Same Grade
Liam Jones,12,80.0,Same Grade
William Brown,12,80.0,Same Grade
William Williams,12,80.0,Same Grade
Noah Brown,12,80.0,Same Grade
Oliver Williams,12,73.33,Same Grade
William Smith,12,73.33,Same Grade
William Jones,12,73.33,Same Grade
William Jones,12,73.33,Same Grade
James Brown,12,73.33,Same Grade
Olivia Smith,12,66.67,Same Grade
William Smith,11,93.33,Different Grade
Noah Johnson,10,93.33,Different Grade
William Brown,10,93.33,Different Grade
Ava Smith,10,93.33,Different Grade
James Johnson,10,86.67,Different Grade
Liam Johnson,9,86.67,Different Grade
Oliver Jones,9,86.67,Different Grade
Olivia Smith,10,86.67,Different Grade
James Jones,11,86.67,Different Grade
James Brown,9,86.67,Different Grade
