Name,Grade,Percent,Category
William Williams,11,80.0,Same Grade
Oliver Smith,11,73.33,Same Grade
William Williams,11,73.33,Same Grade
Oliver Brown,11,73.33,Same Grade
Noah Johnson,11,73.33,Same Grade
Olivia Williams,11,73.33,Same Grade
Liam Johnson,11,73.33,Same Grade
William Brown,11,73.33,Same Grade
Liam Brown,11,73.33,Same Grade
Oliver Jones,11,73.33,Same Grade
Liam Brown,11,66.67,Same Grade
William Johnson,11,66.67,Same Grade
Oliver Jones,11,66.67,Same Grade
William Williams,11,66.67,Same Grade
James Brown,11,66.67,Same Grade
Oliver Brown,12,86.67,Different Grade
Liam Brown,9,86.67,Different Grade
James Smith,9,86.67,Different Grade
Noah Brown,12,86.67,Different Grade
William Johnson,12,86.67,Different Grade
James Williams,12,80.0,Different Grade
Isabella Smith,12,80.0,Different Grade
Liam Jones,12,80.0,Different Grade
William Smith,10,80.0,Different Grade
Noah Jones,9,80.0,Different Grade
