Name,Grade,Percent,Category
Noah Jones,12,80.0,Same Grade
Isabella Jones,12,80.0,Same Grade
Sophia Jones,12,80.0,Same Grade
James Smith,12,80.0,Same Grade
Liam Jones,12,80.0,Same Grade
James Johnson,12,80.0,Same Grade
Noah Brown,12,80.0,Same Grade
Oliver Brown,12,80.0,Same Grade
Sophia Johnson,12,73.33,Same Grade
Sophia Jones,12,73.33,Same Grade
Noah Johnson,12,73.33,Same Grade
James Brown,12,73.33,Same Grade
Ava Brown,12,66.67,Same Grade
Liam Williams,12,66.67,Same Grade
Olivia Jones,12,66.67,Same Grade
James Brown,10,93.33,Different Grade
Liam Williams,10,93.33,Different Grade
Sophia Brown,11,86.67,Different Grade
William Smith,9,86.67,Different Grade
James Jones,11,86.67,Different Grade
Emma Williams,9,86.67,Different Grade
Ava Smith,10,86.67,Different Grade
Emma Johnson,10,86.67,Different Grade
Sophia Smith,9,80.0,Different Grade
Olivia Johnson,11,80.0,Different Grade
