Name,Grade,Percent,Category
James Brown,10,86.67,Same Grade
Oliver Johnson,10,86.67,Same Grade
William Johnson,10,80.0,Same Grade
Isabella Jones,10,73.33,Same Grade
Noah Johnson,10,73.33,Same Grade
Noah Smith,10,73.33,Same Grade
Liam Brown,10,73.33,Same Grade
Oliver Brown,10,73.33,Same Grade
Oliver Williams,10,73.33,Same Grade
Olivia Smith,10,66.67,Same Grade
Oliver Johnson,10,66.67,Same Grade
Liam Jones,10,66.67,Same Grade
Oliver Brown,10,66.67,Same Grade
Isabella Smith,10,66.67,Same Grade
Emma Williams,10,66.67,Same Grade
Emma Brown,9,86.67,Different Grade
Sophia Brown,11,86.67,Different Grade
Isabella Brown,12,80.0,Different Grade
William Williams,11,80.0,Different Grade
James Brown,11,80.0,Different Grade
Oliver Smith,12,80.0,Different Grade
Olivia Jones,9,80.0,Different Grade
Liam Jones,11,80.0,Different Grade
James Johnson,11,80.0,Different Grade
Emma Jones,11,80.0,Different Grade
