Name,Grade,Percent,Category
Noah Williams,11,80.0,Same Grade
James Jones,11,73.33,Same Grade
Oliver Johnson,11,73.33,Same Grade
Liam Johnson,11,73.33,Same Grade
James Brown,11,66.67,Same Grade
Oliver Smith,11,66.67,Same Grade
Isabella Williams,11,66.67,Same Grade
William Johnson,11,60.0,Same Grade
Oliver Johnson,11,60.0,Same Grade
James Johnson,11,60.0,Same Grade
James Jones,11,60.0,Same Grade
Oliver Jones,11,60.0,Same Grade
Liam Jones,11,60.0,Same Grade
Noah Johnson,11,60.0,Same Grade
James Johnson,11,60.0,Same Grade
Olivia Williams,12,100.0,Different Grade
Noah Jones,10,100.0,Different Grade
Oliver Williams,9,86.67,Different Grade
Isabella Jones,12,80.0,Different Grade
Liam Brown,12,80.0,Different Grade
James Smith,10,80.0,Different Grade
William Smith,12,73.33,Different Grade
Sophia Johnson,12,73.33,Different Grade
Olivia Jones,10,73.33,Different Grade
Liam Brown,9,73.33,Different Grade
