Name,Grade,Percent,Category
Oliver Williams,12,86.67,Same Grade
Isabella Johnson,12,80.0,Same Grade
Ava Brown,12,73.33,Same Grade
Olivia Williams,12,73.33,Same Grade
Noah Johnson,12,73.33,Same Grade
Isabella Jones,12,73.33,Same Grade
Sophia Smith,12,73.33,Same Grade
Isabella Brown,12,73.33,Same Grade
Olivia Jones,12,73.33,Same Grade
Isabella Brown,12,73.33,Same Grade
Isabella Johnson,12,66.67,Same Grade
James Smith,12,66.67,Same Grade
James Jones,12,66.67,Same Grade
Oliver Williams,12,66.67,Same Grade
Liam Jones,12,66.67,Same Grade
Oliver Brown,11,93.33,Different Grade
James Williams,11,93.33,Different Grade
Liam Smith,11,86.67,Different Grade
William Smith,11,86.67,Different Grade
William Johnson,11,86.67,Different Grade
Oliver Williams,10,86.67,Different Grade
William Williams,11,86.67,Different Grade
Sophia Johnson,11,80.0,Different Grade
William Smith,11,80.0,Different Grade
Sophia Jones,11,80.0,Different Grade
