Name,Grade,Percent,Category
Sophia Jones,11,93.33,Same Grade
Ava Williams,11,86.67,Same Grade
James Williams,11,80.0,Same Grade
Liam Brown,11,80.0,Same Grade
Sophia Brown,11,80.0,Same Grade
Sophia Smith,11,73.33,Same Grade
Emma Smith,11,73.33,Same Grade
Sophia Brown,11,73.33,Same Grade
Oliver Jones,11,73.33,Same Grade
William Smith,11,73.33,Same Grade
Noah Brown,11,73.33,Same Grade
Noah Smith,11,73.33,Same Grade
Emma Brown,11,73.33,Same Grade
Sophia Jones,11,66.67,Same Grade
Ava Jones,11,66.67,Same Grade
Isabella Williams,10,93.33,Different Grade
Emma Williams,9,93.33,Different Grade
Olivia Brown,9,86.67,Different Grade
Sophia Jones,12,86.67,Different Grade
Oliver Jones,9,86.67,Different Grade
Sophia Brown,9,86.67,Different Grade
Ava Brown,12,80.0,Different Grade
Isabella Smith,12,80.0,Different Grade
Sophia Jones,9,80.0,Different Grade
Isabella Jones,12,80.0,Different Grade
