Name,Grade,Percent,Category
Emma Brown,9,80.0,Same Grade
Isabella Williams,9,80.0,Same Grade
Isabella Smith,9,80.0,Same Grade
Isabella Jones,9,80.0,Same Grade
Emma Brown,9,80.0,Same Grade
Emma Williams,9,80.0,Same Grade
Ava Williams,9,73.33,Same Grade
Olivia Brown,9,73.33,Same Grade
Oliver Jones,9,73.33,Same Grade
James Jones,9,73.33,Same Grade
Sophia Brown,9,73.33,Same Grade
Emma Williams,9,73.33,Same Grade
Ava Williams,9,73.33,Same Grade
Olivia Smith,9,66.67,Same Grade
Olivia Williams,9,66.67,Same Grade
Isabella Smith,12,93.33,Different Grade
Sophia Brown,11,93.33,Different Grade
Emma Johnson,10,86.67,Different Grade
Olivia Jones,12,86.67,Different Grade
Sophia Smith,11,86.67,Different Grade
Sophia Jones,12,86.67,Different Grade
Ava Smith,10,86.67,Different Grade
Ava Jones,11,80.0,Different Grade
Isabella Jones,10,80.0,Different Grade
James Williams,11,80.0,Different Grade
