Name,Grade,Percent,Category
Olivia Brown,11,86.67,Same Grade
Emma Williams,11,86.67,Same Grade
Oliver Brown,11,86.67,Same Grade
Emma Williams,11,86.67,Same Grade
William Smith,11,80.0,Same Grade
Noah Brown,11,80.0,Same Grade
James Johnson,11,80.0,Same Grade
Sophia Jones,11,73.33,Same Grade
Olivia Johnson,11,73.33,Same Grade
James Williams,11,73.33,Same Grade
Liam Williams,11,73.33,Same Grade
Sophia Williams,11,73.33,Same Grade
Sophia Jones,11,73.33,Same Grade
Emma Johnson,11,73.33,Same Grade
Olivia Williams,11,73.33,Same Grade
Ava Brown,12,86.67,Different Grade
Sophia Jones,10,86.67,Different Grade
Sophia Johnson,10,86.67,Different Grade
Emma Brown,10,86.67,Different Grade
Ava Smith,12,80.0,Different Grade
Ava Jones,10,80.0,Different Grade
Ava Brown,10,80.0,Different Grade
Olivia Williams,12,80.0,Different Grade
Ava Jones,12,80.0,Different Grade
Isabella Johnson,9,80.0,Different Grade
