Name,Grade,Percent,Category
James Williams,12,86.67,Same Grade
Olivia Williams,12,86.67,Same Grade
Sophia Williams,12,86.67,Same Grade
Olivia Smith,12,80.0,Same Grade
Isabella Brown,12,80.0,Same Grade
Ava Smith,12,73.33,Same Grade
Emma Williams,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Isabella Brown,12,73.33,Same Grade
Olivia Williams,12,73.33,Same Grade
Isabella Smith,12,73.33,Same Grade
Ava Jones,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Liam Jones,12,73.33,Same Grade
Sophia Williams,12,73.33,Same Grade
Olivia Brown,10,93.33,Different Grade
Liam Williams,11,93.33,Different Grade
Olivia Johnson,10,93.33,Different Grade
Ava Johnson,9,86.67,Different Grade
Noah Brown,11,86.67,Different Grade
Olivia Williams,9,80.0,Different Grade
Sophia Jones,10,80.0,Different Grade
Sophia Jones,11,80.0,Different Grade
Emma Jones,9,80.0,Different Grade
Ava Johnson,11,80.0,Different Grade
