Name,Grade,Percent,Gender,Category
Avery Wilson,12,Non-Binary,75.0,Same Grade
Jordan Jones,12,Non-Binary,65.0,Same Grade
Casey Johnson,12,Non-Binary,65.0,Same Grade
Taylor Johnson,12,Non-Binary,65.0,Same Grade
Jordan Taylor,12,Male,60.0,Same Grade
Jamie Jones,12,Female,60.0,Same Grade
Morgan Taylor,12,Non-Binary,55.00000000000001,Same Grade
Avery Taylor,12,Non-Binary,55.00000000000001,Same Grade
Casey Smith,12,Non-Binary,50.0,Same Grade
Dylan,12,Male,0.0,Same Grade
Avery Smith,11,Non-Binary,85.0,Different Grade
Quinn Jones,9,Non-Binary,80.0,Different Grade
Morgan Moore,11,Male,80.0,Different Grade
Quinn Johnson,9,Male,80.0,Different Grade
Jordan Miller,11,Female,75.0,Different Grade
Morgan Moore,11,Male,80.0,Same Gender
Quinn Johnson,9,Male,80.0,Same Gender
Avery Wilson,11,Male,70.0,Same Gender
Morgan Moore,10,Male,70.0,Same Gender
Taylor Taylor,9,Male,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Casey Moore,10,Female,45.0,Most Opposite
Taylor Moore,11,Female,45.0,Most Opposite
