Name,Grade,Gender,Percent,Category
Casey Johnson,10,Non-Binary,80.0,Same Grade
Quinn Williams,10,Male,75.0,Same Grade
Morgan Miller,10,Female,75.0,Same Grade
Riley Taylor,10,Female,65.0,Same Grade
Taylor Taylor,10,Female,65.0,Same Grade
Quinn Davis,10,Female,65.0,Same Grade
Riley Brown,10,Female,65.0,Same Grade
Morgan Moore,10,Male,60.0,Same Grade
Alex Williams,10,Female,60.0,Same Grade
Taylor Williams,10,Non-Binary,60.0,Same Grade
Reese Williams,11,Non-Binary,80.0,Different Grade
Quinn Smith,9,Non-Binary,80.0,Different Grade
Riley Moore,11,Non-Binary,80.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Different Grade
Avery Wilson,11,Male,70.0,Different Grade
Morgan Miller,10,Female,75.0,Same Gender
Avery Smith,9,Female,70.0,Same Gender
Casey Miller,9,Female,70.0,Same Gender
Jamie Jones,12,Female,70.0,Same Gender
Jordan Miller,11,Female,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Alex Jones,11,Male,45.0,Most Opposite
Jamie Miller,10,Male,45.0,Most Opposite
