Name,Grade,Gender,Percent,Category
Casey Johnson,10,Non-Binary,80.0,Same Grade
Alex Williams,10,Female,70.0,Same Grade
Riley Taylor,10,Female,65.0,Same Grade
Taylor Taylor,10,Female,65.0,Same Grade
Jordan Smith,10,Male,65.0,Same Grade
Quinn Davis,10,Female,65.0,Same Grade
Quinn Williams,10,Male,65.0,Same Grade
Morgan Miller,10,Female,65.0,Same Grade
Riley Brown,10,Female,65.0,Same Grade
Morgan Moore,10,Male,60.0,Same Grade
Quinn Smith,9,Non-Binary,80.0,Different Grade
Taylor Taylor,9,Male,75.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Different Grade
Reese Taylor,9,Male,75.0,Different Grade
Avery Wilson,11,Male,70.0,Different Grade
Taylor Taylor,9,Male,75.0,Same Gender
Reese Taylor,9,Male,75.0,Same Gender
Avery Wilson,11,Male,70.0,Same Gender
Morgan Moore,11,Male,70.0,Same Gender
Quinn Johnson,9,Male,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Jones,12,Non-Binary,45.0,Most Opposite
Quinn Brown,10,Female,50.0,Most Opposite
