Name,Grade,Gender,Percent,Category
Taylor Johnson,12,Non-Binary,70.0,Same Grade
Avery Wilson,12,Non-Binary,70.0,Same Grade
Jamie Davis,12,Male,65.0,Same Grade
Morgan Taylor,12,Non-Binary,60.0,Same Grade
Casey Johnson,12,Non-Binary,60.0,Same Grade
Avery Taylor,12,Non-Binary,60.0,Same Grade
Jordan Taylor,12,Male,55.00000000000001,Same Grade
Jamie Jones,12,Female,55.00000000000001,Same Grade
Casey Smith,12,Non-Binary,45.0,Same Grade
Dylan,12,Male,0.0,Same Grade
Jordan Miller,11,Female,80.0,Different Grade
Avery Smith,11,Non-Binary,80.0,Different Grade
Avery Wilson,11,Male,75.0,Different Grade
Quinn Jones,9,Non-Binary,75.0,Different Grade
Morgan Moore,11,Male,75.0,Different Grade
Avery Smith,11,Non-Binary,80.0,Same Gender
Quinn Jones,9,Non-Binary,75.0,Same Gender
Casey Williams,9,Non-Binary,70.0,Same Gender
Taylor Johnson,12,Non-Binary,70.0,Same Gender
Avery Wilson,12,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Casey Smith,12,Non-Binary,45.0,Most Opposite
Jordan Davis,10,Male,45.0,Most Opposite
