Name,Grade,Gender,Percent,Category
Casey Johnson,12,Non-Binary,75.0,Same Grade
Taylor Johnson,12,Non-Binary,75.0,Same Grade
Avery Wilson,12,Non-Binary,75.0,Same Grade
Casey Smith,12,Non-Binary,60.0,Same Grade
Jamie Davis,12,Male,60.0,Same Grade
Jordan Jones,12,Non-Binary,55.00000000000001,Same Grade
Morgan Taylor,12,Non-Binary,55.00000000000001,Same Grade
Jamie Jones,12,Female,50.0,Same Grade
Avery Taylor,12,Non-Binary,45.0,Same Grade
Dylan,12,Male,0.0,Same Grade
Taylor Miller,11,Female,85.0,Different Grade
Reese Taylor,9,Male,85.0,Different Grade
Morgan Moore,11,Male,80.0,Different Grade
Quinn Johnson,9,Male,80.0,Different Grade
Casey Miller,9,Female,80.0,Different Grade
Reese Taylor,9,Male,85.0,Same Gender
Morgan Moore,11,Male,80.0,Same Gender
Quinn Johnson,9,Male,80.0,Same Gender
Alex Jones,11,Male,75.0,Same Gender
Quinn Williams,10,Male,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Riley Taylor,10,Female,45.0,Most Opposite
Avery Taylor,12,Non-Binary,45.0,Most Opposite
