Name,Grade,Percent,Category
Ava Jones,10,93.33,Same Grade
Emma Williams,10,93.33,Same Grade
Olivia Brown,10,86.67,Same Grade
Sophia Johnson,10,86.67,Same Grade
Sophia Jones,10,80.0,Same Grade
Ava Brown,10,80.0,Same Grade
Olivia Jones,10,80.0,Same Grade
Sophia Jones,10,73.33,Same Grade
Sophia Johnson,10,73.33,Same Grade
Sophia Smith,10,73.33,Same Grade
Isabella Brown,10,73.33,Same Grade
Sophia Williams,10,73.33,Same Grade
William Smith,10,73.33,Same Grade
Emma Smith,10,73.33,Same Grade
Sophia Brown,10,73.33,Same Grade
Ava Smith,12,93.33,Different Grade
Olivia Williams,12,93.33,Different Grade
Olivia Williams,9,86.67,Different Grade
Sophia Jones,11,86.67,Different Grade
Olivia Johnson,11,86.67,Different Grade
Sophia Williams,11,86.67,Different Grade
Emma Williams,11,86.67,Different Grade
Oliver Brown,9,80.0,Different Grade
Ava Johnson,9,80.0,Different Grade
Isabella Jones,9,80.0,Different Grade
