Name,Grade,Percent,Category
James Brown,10,86.67,Same Grade
Oliver Jones,10,80.0,Same Grade
William Williams,10,80.0,Same Grade
Emma Jones,10,73.33,Same Grade
Noah Johnson,10,73.33,Same Grade
Liam Brown,10,73.33,Same Grade
Liam Williams,10,73.33,Same Grade
Emma Johnson,10,66.67,Same Grade
William Johnson,10,66.67,Same Grade
William Williams,10,66.67,Same Grade
Olivia Williams,10,66.67,Same Grade
Sophia Brown,10,66.67,Same Grade
Emma Jones,10,66.67,Same Grade
James Brown,10,60.0,Same Grade
Ava Brown,10,60.0,Same Grade
James Johnson,11,93.33,Different Grade
Sophia Jones,11,86.67,Different Grade
Oliver Smith,9,86.67,Different Grade
Sophia Smith,9,86.67,Different Grade
Isabella Smith,9,80.0,Different Grade
Olivia Jones,9,80.0,Different Grade
Isabella Jones,12,80.0,Different Grade
Ava Williams,11,80.0,Different Grade
Isabella Brown,9,80.0,Different Grade
Sophia Johnson,12,80.0,Different Grade
