Name,Grade,Percent,Category
Ava Smith,12,86.67,Same Grade
William Jones,12,86.67,Same Grade
Noah Williams,12,86.67,Same Grade
Liam Smith,12,80.0,Same Grade
Liam Jones,12,80.0,Same Grade
Noah Johnson,12,80.0,Same Grade
Emma Brown,12,80.0,Same Grade
Ava Jones,12,73.33,Same Grade
Sophia Williams,12,73.33,Same Grade
Sophia Smith,12,73.33,Same Grade
Sophia Williams,12,73.33,Same Grade
James Williams,12,73.33,Same Grade
Isabella Brown,12,66.67,Same Grade
Noah Jones,12,66.67,Same Grade
Liam Jones,12,66.67,Same Grade
William Williams,11,86.67,Different Grade
Liam Johnson,11,86.67,Different Grade
Noah Johnson,11,80.0,Different Grade
Oliver Smith,10,80.0,Different Grade
Olivia Brown,11,80.0,Different Grade
Emma Smith,9,80.0,Different Grade
James Williams,9,80.0,Different Grade
Isabella Brown,10,80.0,Different Grade
Ava Brown,9,80.0,Different Grade
Sophia Williams,10,80.0,Different Grade
