Name,Grade,Percent,Category
Liam Jones,9,86.67,Same Grade
Liam Jones,9,86.67,Same Grade
William Smith,9,80.0,Same Grade
Olivia Johnson,9,80.0,Same Grade
Liam Brown,9,80.0,Same Grade
Sophia Jones,9,73.33,Same Grade
Sophia Brown,9,73.33,Same Grade
Olivia Williams,9,73.33,Same Grade
Isabella Smith,9,73.33,Same Grade
Noah Brown,9,73.33,Same Grade
Isabella Brown,9,73.33,Same Grade
Liam Johnson,9,66.67,Same Grade
Oliver Jones,9,66.67,Same Grade
Olivia Brown,9,66.67,Same Grade
Isabella Johnson,9,66.67,Same Grade
Liam Johnson,10,93.33,Different Grade
Ava Johnson,12,93.33,Different Grade
James Brown,11,86.67,Different Grade
Ava Brown,10,86.67,Different Grade
Olivia Williams,10,86.67,Different Grade
Ava Williams,10,86.67,Different Grade
Olivia Johnson,11,80.0,Different Grade
James Johnson,10,80.0,Different Grade
Noah Johnson,11,80.0,Different Grade
Ava Williams,11,80.0,Different Grade
