Name,Grade,Percent,Category
Emma Jones,10,86.67,Same Grade
Oliver Smith,10,80.0,Same Grade
William Johnson,10,80.0,Same Grade
Sophia Williams,10,80.0,Same Grade
Sophia Smith,10,80.0,Same Grade
William Smith,10,73.33,Same Grade
William Williams,10,73.33,Same Grade
Oliver Williams,10,66.67,Same Grade
Ava Smith,10,66.67,Same Grade
James Brown,10,66.67,Same Grade
Sophia Johnson,10,66.67,Same Grade
Isabella Smith,10,66.67,Same Grade
Sophia Jones,10,66.67,Same Grade
Olivia Jones,10,60.0,Same Grade
Liam Smith,10,60.0,Same Grade
Emma Smith,9,93.33,Different Grade
William Jones,12,86.67,Different Grade
Noah Williams,12,86.67,Different Grade
Olivia Brown,11,80.0,Different Grade
Oliver Jones,11,80.0,Different Grade
Ava Johnson,11,73.33,Different Grade
William Johnson,11,73.33,Different Grade
William Williams,11,73.33,Different Grade
Oliver Smith,11,73.33,Different Grade
Sophia Williams,12,73.33,Different Grade
