Name,Grade,Gender,Percent,Category
Jordan Brown,10,Female,85.0,Same Grade
Morgan Moore,10,Male,75.0,Same Grade
Taylor Williams,10,Non-Binary,75.0,Same Grade
Jordan Davis,10,Male,75.0,Same Grade
Casey Johnson,10,Non-Binary,75.0,Same Grade
Riley Taylor,10,Female,70.0,Same Grade
Casey Moore,10,Female,70.0,Same Grade
Quinn Williams,10,Male,70.0,Same Grade
Casey Brown,10,Female,60.0,Same Grade
Taylor Taylor,10,Female,60.0,Same Grade
Casey Smith,12,Non-Binary,85.0,Different Grade
Avery Smith,9,Female,85.0,Different Grade
Taylor Moore,11,Female,80.0,Different Grade
Jamie Davis,9,Male,80.0,Different Grade
Avery Taylor,12,Non-Binary,80.0,Different Grade
Jordan Brown,10,Female,85.0,Same Gender
Avery Smith,9,Female,85.0,Same Gender
Taylor Moore,11,Female,80.0,Same Gender
Jamie Jones,12,Female,75.0,Same Gender
Riley Taylor,10,Female,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Alex Williams,10,Female,45.0,Most Opposite
Quinn Johnson,9,Male,45.0,Most Opposite
