Name,Grade,Gender,Percent,Category
Casey Brown,10,Female,75.0,Same Grade
Morgan Miller,10,Female,75.0,Same Grade
Taylor Williams,10,Non-Binary,70.0,Same Grade
Jordan Brown,10,Female,70.0,Same Grade
Jordan Davis,10,Male,70.0,Same Grade
Riley Taylor,10,Female,65.0,Same Grade
Casey Moore,10,Female,65.0,Same Grade
Jordan Smith,10,Male,65.0,Same Grade
Quinn Williams,10,Male,65.0,Same Grade
Jamie Miller,10,Male,65.0,Same Grade
Jamie Davis,12,Male,80.0,Different Grade
Jordan Jones,12,Non-Binary,75.0,Different Grade
Taylor Taylor,9,Male,75.0,Different Grade
Casey Johnson,12,Non-Binary,75.0,Different Grade
Avery Jones,9,Female,75.0,Different Grade
Jamie Davis,12,Male,80.0,Same Gender
Taylor Taylor,9,Male,75.0,Same Gender
Jordan Davis,10,Male,70.0,Same Gender
Jordan Taylor,12,Male,70.0,Same Gender
Alex Jones,11,Male,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Taylor Johnson,12,Non-Binary,45.0,Most Opposite
Alex Williams,10,Female,50.0,Most Opposite
