Name,Grade,Percent,Gender,Category
Taylor Johnson,12,Non-Binary,70.0,Same Grade
Casey Smith,12,Non-Binary,65.0,Same Grade
Jordan Jones,12,Non-Binary,60.0,Same Grade
Avery Taylor,12,Non-Binary,60.0,Same Grade
Jamie Davis,12,Male,55.00000000000001,Same Grade
Jordan Taylor,12,Male,55.00000000000001,Same Grade
Jamie Jones,12,Female,55.00000000000001,Same Grade
Casey Johnson,12,Non-Binary,50.0,Same Grade
Avery Wilson,12,Non-Binary,50.0,Same Grade
Dylan,12,Male,0.0,Same Grade
Avery Wilson,11,Male,85.0,Different Grade
Quinn Smith,9,Non-Binary,85.0,Different Grade
Casey Williams,9,Non-Binary,80.0,Different Grade
Alex Williams,10,Female,75.0,Different Grade
Jordan Davis,9,Female,75.0,Different Grade
Quinn Smith,9,Non-Binary,85.0,Same Gender
Casey Williams,9,Non-Binary,80.0,Same Gender
Riley Moore,11,Non-Binary,75.0,Same Gender
Avery Smith,11,Non-Binary,70.0,Same Gender
Taylor Johnson,12,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Alex Jones,11,Male,50.0,Most Opposite
Casey Johnson,12,Non-Binary,50.0,Most Opposite
