Name,Grade,Gender,Percent,Category
Taylor Miller,11,Female,80.0,Same Grade
Morgan Moore,11,Male,75.0,Same Grade
Riley Moore,11,Non-Binary,75.0,Same Grade
Jordan Miller,11,Female,70.0,Same Grade
Alex Jones,11,Male,70.0,Same Grade
Avery Smith,11,Non-Binary,70.0,Same Grade
Avery Wilson,11,Male,65.0,Same Grade
Reese Miller,11,Non-Binary,65.0,Same Grade
Reese Williams,11,Non-Binary,65.0,Same Grade
Taylor Moore,11,Female,60.0,Same Grade
Taylor Taylor,10,Female,80.0,Different Grade
Quinn Williams,10,Male,80.0,Different Grade
Riley Brown,10,Female,80.0,Different Grade
Reese Taylor,9,Male,80.0,Different Grade
Taylor Williams,10,Non-Binary,75.0,Different Grade
Taylor Williams,10,Non-Binary,75.0,Same Gender
Riley Moore,11,Non-Binary,75.0,Same Gender
Casey Johnson,10,Non-Binary,75.0,Same Gender
Casey Williams,9,Non-Binary,70.0,Same Gender
Casey Johnson,12,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Jones,12,Non-Binary,50.0,Most Opposite
Riley Taylor,10,Female,50.0,Most Opposite
