Name,Grade,Percent,Category
Sophia Smith,10,93.33,Same Grade
Olivia Brown,10,80.0,Same Grade
Isabella Brown,10,80.0,Same Grade
Sophia Brown,10,80.0,Same Grade
Sophia Johnson,10,80.0,Same Grade
Olivia Johnson,10,80.0,Same Grade
Olivia Jones,10,73.33,Same Grade
Sophia Jones,10,73.33,Same Grade
Ava Jones,10,73.33,Same Grade
Isabella Smith,10,73.33,Same Grade
Emma Williams,10,73.33,Same Grade
Noah Johnson,10,73.33,Same Grade
Ava Johnson,10,73.33,Same Grade
Sophia Williams,10,66.67,Same Grade
Isabella Brown,10,66.67,Same Grade
Ava Johnson,11,93.33,Different Grade
James Williams,12,86.67,Different Grade
Sophia Jones,9,86.67,Different Grade
Isabella Williams,9,86.67,Different Grade
Olivia Brown,9,86.67,Different Grade
Emma Jones,12,86.67,Different Grade
Olivia Williams,9,80.0,Different Grade
Isabella Brown,12,80.0,Different Grade
Liam Johnson,11,80.0,Different Grade
Oliver Jones,11,80.0,Different Grade
