Name,Grade,Percent,Category
Olivia Smith,9,80.0,Same Grade
Isabella Johnson,9,80.0,Same Grade
Olivia Brown,9,80.0,Same Grade
Ava Williams,9,80.0,Same Grade
William Smith,9,73.33,Same Grade
Olivia Jones,9,73.33,Same Grade
Isabella Brown,9,73.33,Same Grade
Emma Jones,9,73.33,Same Grade
Sophia Brown,9,73.33,Same Grade
Sophia Jones,9,66.67,Same Grade
William Brown,9,66.67,Same Grade
Emma Brown,9,66.67,Same Grade
Ava Jones,9,66.67,Same Grade
Ava Brown,9,66.67,Same Grade
Emma Smith,9,66.67,Same Grade
Oliver Johnson,11,100.0,Different Grade
Sophia Johnson,11,93.33,Different Grade
Ava Jones,11,93.33,Different Grade
Olivia Williams,10,86.67,Different Grade
Noah Jones,12,80.0,Different Grade
Sophia Jones,12,80.0,Different Grade
Isabella Johnson,12,80.0,Different Grade
Ava Brown,10,80.0,Different Grade
Noah Williams,12,80.0,Different Grade
William Jones,12,80.0,Different Grade
