Name,Grade,Percent,Category
Oliver Smith,11,93.33,Same Grade
Olivia Johnson,11,80.0,Same Grade
Isabella Brown,11,80.0,Same Grade
Emma Johnson,11,80.0,Same Grade
Olivia Johnson,11,73.33,Same Grade
Ava Williams,11,73.33,Same Grade
Sophia Brown,11,73.33,Same Grade
Ava Jones,11,66.67,Same Grade
Isabella Williams,11,66.67,Same Grade
Isabella Brown,11,66.67,Same Grade
James Smith,11,66.67,Same Grade
Emma Jones,11,66.67,Same Grade
Olivia Jones,11,66.67,Same Grade
Emma Brown,11,66.67,Same Grade
Liam Brown,11,60.0,Same Grade
Ava Brown,10,93.33,Different Grade
Liam Brown,10,93.33,Different Grade
Olivia Williams,12,86.67,Different Grade
Isabella Johnson,12,80.0,Different Grade
William Brown,9,80.0,Different Grade
Ava Brown,10,80.0,Different Grade
Noah Williams,12,80.0,Different Grade
Isabella Brown,9,73.33,Different Grade
Emma Jones,10,73.33,Different Grade
Emma Jones,9,73.33,Different Grade
