Name,Grade,Percent,Category
Emma Jones,11,80.0,Same Grade
Emma Brown,11,80.0,Same Grade
Sophia Jones,11,73.33,Same Grade
Ava Jones,11,73.33,Same Grade
Olivia Johnson,11,73.33,Same Grade
Sophia Williams,11,73.33,Same Grade
Liam Brown,11,73.33,Same Grade
Liam Johnson,11,73.33,Same Grade
Olivia Williams,11,73.33,Same Grade
Emma Williams,11,73.33,Same Grade
Sophia Brown,11,73.33,Same Grade
Sophia Brown,11,66.67,Same Grade
Sophia Smith,11,66.67,Same Grade
William Brown,11,66.67,Same Grade
Emma Smith,11,66.67,Same Grade
Isabella Jones,9,93.33,Different Grade
Noah Jones,9,93.33,Different Grade
Olivia Jones,10,80.0,Different Grade
Isabella Brown,12,80.0,Different Grade
Olivia Williams,12,80.0,Different Grade
Isabella Johnson,9,80.0,Different Grade
Sophia Jones,12,80.0,Different Grade
Oliver Johnson,9,80.0,Different Grade
Oliver Smith,9,80.0,Different Grade
Sophia Williams,12,80.0,Different Grade
