Name,Grade,Percent,Category
Olivia Jones,10,86.67,Same Grade
Liam Williams,10,73.33,Same Grade
Ava Jones,10,73.33,Same Grade
Olivia Smith,10,73.33,Same Grade
Emma Williams,10,73.33,Same Grade
Noah Johnson,10,73.33,Same Grade
Emma Johnson,10,73.33,Same Grade
Isabella Smith,10,73.33,Same Grade
Isabella Jones,10,66.67,Same Grade
Ava Brown,10,66.67,Same Grade
William Smith,10,66.67,Same Grade
Ava Johnson,10,66.67,Same Grade
Olivia Johnson,10,66.67,Same Grade
Ava Williams,10,66.67,Same Grade
Sophia Smith,10,66.67,Same Grade
Ava Smith,12,93.33,Different Grade
Oliver Jones,9,86.67,Different Grade
William Brown,11,86.67,Different Grade
Isabella Smith,11,86.67,Different Grade
Emma Johnson,11,86.67,Different Grade
Oliver Smith,9,86.67,Different Grade
Ava Johnson,9,86.67,Different Grade
Ava Johnson,12,80.0,Different Grade
Olivia Smith,12,80.0,Different Grade
Sophia Jones,11,80.0,Different Grade
