Name,Grade,Percent,Category
Sophia Jones,12,86.67,Same Grade
Isabella Smith,12,80.0,Same Grade
James Johnson,12,80.0,Same Grade
Oliver Jones,12,80.0,Same Grade
Sophia Smith,12,80.0,Same Grade
Emma Brown,12,73.33,Same Grade
Olivia Jones,12,73.33,Same Grade
Emma Smith,12,73.33,Same Grade
Noah Brown,12,73.33,Same Grade
William Williams,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Sophia Williams,12,73.33,Same Grade
Emma Johnson,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Sophia Johnson,12,73.33,Same Grade
Ava Jones,11,93.33,Different Grade
Emma Johnson,10,86.67,Different Grade
Emma Brown,9,80.0,Different Grade
Ava Jones,9,80.0,Different Grade
Isabella Jones,10,80.0,Different Grade
Sophia Smith,9,80.0,Different Grade
Sophia Johnson,11,80.0,Different Grade
Sophia Brown,11,80.0,Different Grade
William Smith,9,73.33,Different Grade
Sophia Smith,11,73.33,Different Grade
