Name,Grade,Percent,Category
James Smith,9,86.67,Same Grade
Emma Smith,9,80.0,Same Grade
Isabella Brown,9,80.0,Same Grade
Sophia Johnson,9,73.33,Same Grade
William Johnson,9,73.33,Same Grade
Oliver Brown,9,60.0,Same Grade
Sophia Jones,9,60.0,Same Grade
Sophia Brown,9,60.0,Same Grade
Isabella Williams,9,60.0,Same Grade
Emma Brown,9,60.0,Same Grade
Sophia Johnson,9,60.0,Same Grade
James Williams,9,60.0,Same Grade
Isabella Smith,9,60.0,Same Grade
Olivia Smith,9,60.0,Same Grade
Isabella Brown,9,53.33,Same Grade
Emma Brown,12,93.33,Different Grade
Ava Johnson,11,86.67,Different Grade
William Williams,11,86.67,Different Grade
Isabella Johnson,11,80.0,Different Grade
Olivia Brown,11,80.0,Different Grade
Emma Williams,11,80.0,Different Grade
Isabella Brown,10,80.0,Different Grade
Oliver Brown,11,80.0,Different Grade
Emma Brown,10,80.0,Different Grade
Sophia Jones,12,73.33,Different Grade
