Name,Grade,Percent,Category
Isabella Williams,9,93.33,Same Grade
Ava Johnson,9,86.67,Same Grade
James Smith,9,86.67,Same Grade
Oliver Williams,9,80.0,Same Grade
Ava Brown,9,80.0,Same Grade
Ava Williams,9,80.0,Same Grade
Ava Brown,9,80.0,Same Grade
Ava Williams,9,73.33,Same Grade
Sophia Jones,9,73.33,Same Grade
Oliver Williams,9,73.33,Same Grade
Ava Johnson,9,73.33,Same Grade
Noah Jones,9,66.67,Same Grade
Olivia Williams,9,66.67,Same Grade
William Williams,9,66.67,Same Grade
James Williams,9,66.67,Same Grade
Liam Jones,10,86.67,Different Grade
Ava Jones,10,86.67,Different Grade
Olivia Jones,10,86.67,Different Grade
Oliver Brown,10,86.67,Different Grade
William Brown,12,80.0,Different Grade
Noah Johnson,11,80.0,Different Grade
Sophia Jones,11,80.0,Different Grade
Liam Smith,12,80.0,Different Grade
William Smith,11,80.0,Different Grade
Noah Jones,12,80.0,Different Grade
