Name,Grade,Percent,Category
Isabella Johnson,9,86.67,Same Grade
Olivia Smith,9,80.0,Same Grade
Emma Smith,9,80.0,Same Grade
Olivia Brown,9,73.33,Same Grade
Olivia Johnson,9,73.33,Same Grade
Sophia Brown,9,73.33,Same Grade
Ava Williams,9,73.33,Same Grade
Isabella Smith,9,66.67,Same Grade
Sophia Jones,9,66.67,Same Grade
Emma Brown,9,66.67,Same Grade
Isabella Williams,9,66.67,Same Grade
Ava Jones,9,66.67,Same Grade
Liam Smith,9,66.67,Same Grade
Noah Williams,9,66.67,Same Grade
Isabella Smith,9,66.67,Same Grade
Ava Brown,12,93.33,Different Grade
Oliver Johnson,11,86.67,Different Grade
Olivia Williams,12,86.67,Different Grade
Sophia Johnson,12,86.67,Different Grade
Olivia Jones,10,86.67,Different Grade
Isabella Williams,11,86.67,Different Grade
Emma Jones,10,80.0,Different Grade
Isabella Johnson,12,80.0,Different Grade
Oliver Brown,12,80.0,Different Grade
Isabella Jones,11,73.33,Different Grade
