Name,Grade,Percent,Category
Oliver Williams,12,80.0,Same Grade
Noah Jones,12,80.0,Same Grade
Liam Jones,12,80.0,Same Grade
Ava Smith,12,80.0,Same Grade
Noah Johnson,12,73.33,Same Grade
James Brown,12,73.33,Same Grade
Olivia Smith,12,66.67,Same Grade
William Brown,12,66.67,Same Grade
Sophia Jones,12,66.67,Same Grade
Olivia Johnson,12,66.67,Same Grade
William Brown,12,66.67,Same Grade
Noah Williams,12,66.67,Same Grade
Noah Brown,12,66.67,Same Grade
William Jones,12,66.67,Same Grade
James Jones,12,66.67,Same Grade
Oliver Williams,9,93.33,Different Grade
Oliver Jones,9,86.67,Different Grade
Noah Jones,9,86.67,Different Grade
Noah Brown,11,86.67,Different Grade
William Brown,9,80.0,Different Grade
Liam Smith,10,80.0,Different Grade
Oliver Brown,11,80.0,Different Grade
Isabella Smith,9,80.0,Different Grade
Oliver Jones,10,80.0,Different Grade
Ava Williams,9,80.0,Different Grade
