Name,Grade,Percent,Category
William Johnson,9,86.67,Same Grade
Isabella Brown,9,80.0,Same Grade
Noah Brown,9,80.0,Same Grade
Emma Jones,9,80.0,Same Grade
Liam Smith,9,80.0,Same Grade
Sophia Johnson,9,73.33,Same Grade
James Williams,9,73.33,Same Grade
James Jones,9,73.33,Same Grade
Isabella Smith,9,66.67,Same Grade
Liam Brown,9,66.67,Same Grade
James Smith,9,66.67,Same Grade
James Williams,9,66.67,Same Grade
William Smith,9,66.67,Same Grade
Ava Jones,9,66.67,Same Grade
Isabella Williams,9,66.67,Same Grade
James Johnson,11,86.67,Different Grade
Sophia Jones,10,86.67,Different Grade
Sophia Jones,10,80.0,Different Grade
Oliver Smith,10,80.0,Different Grade
Noah Smith,10,80.0,Different Grade
Liam Johnson,11,80.0,Different Grade
William Brown,11,80.0,Different Grade
Sophia Jones,10,80.0,Different Grade
Isabella Williams,10,80.0,Different Grade
Oliver Johnson,12,80.0,Different Grade
