Name,Grade,Percent,Category
Olivia Jones,9,86.67,Same Grade
Ava Johnson,9,86.67,Same Grade
Sophia Jones,9,80.0,Same Grade
Emma Brown,9,80.0,Same Grade
Sophia Brown,9,80.0,Same Grade
Liam Williams,9,80.0,Same Grade
Oliver Smith,9,80.0,Same Grade
Ava Brown,9,80.0,Same Grade
Sophia Smith,9,80.0,Same Grade
James Johnson,9,80.0,Same Grade
Isabella Smith,9,73.33,Same Grade
Liam Johnson,9,73.33,Same Grade
Oliver Jones,9,73.33,Same Grade
Isabella Brown,9,73.33,Same Grade
Olivia Williams,9,66.67,Same Grade
Oliver Smith,11,86.67,Different Grade
Isabella Smith,11,86.67,Different Grade
Sophia Brown,10,86.67,Different Grade
Sophia Smith,12,86.67,Different Grade
Ava Johnson,12,86.67,Different Grade
Sophia Jones,11,80.0,Different Grade
Ava Jones,11,80.0,Different Grade
Liam Smith,12,80.0,Different Grade
Oliver Brown,11,80.0,Different Grade
Liam Smith,10,80.0,Different Grade
