Name,Grade,Percent,Gender,Category
Jamie Miller,10,Male,85.0,Same Grade
Casey Brown,10,Female,75.0,Same Grade
Casey Moore,10,Female,75.0,Same Grade
Jordan Smith,10,Male,75.0,Same Grade
Alex Williams,10,Female,70.0,Same Grade
Taylor Williams,10,Non-Binary,70.0,Same Grade
Riley Taylor,10,Female,65.0,Same Grade
Taylor Taylor,10,Female,65.0,Same Grade
Quinn Davis,10,Female,65.0,Same Grade
Riley Brown,10,Female,65.0,Same Grade
Alex Jones,11,Male,85.0,Different Grade
Jordan Taylor,12,Male,80.0,Different Grade
Jordan Jones,12,Non-Binary,75.0,Different Grade
Casey Johnson,12,Non-Binary,75.0,Different Grade
Morgan Williams,11,Non-Binary,75.0,Different Grade
Casey Brown,10,Female,75.0,Same Gender
Casey Moore,10,Female,75.0,Same Gender
Alex Williams,10,Female,70.0,Same Gender
Jamie Jones,12,Female,70.0,Same Gender
Jordan Miller,11,Female,65.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Casey Williams,9,Non-Binary,45.0,Most Opposite
Reese Williams,11,Non-Binary,50.0,Most Opposite
