Name,Grade,Gender,Percent,Category
Casey Moore,10,Female,80.0,Same Grade
Jamie Miller,10,Male,80.0,Same Grade
Quinn Brown,10,Female,75.0,Same Grade
Taylor Taylor,10,Female,70.0,Same Grade
Jordan Smith,10,Male,70.0,Same Grade
Morgan Miller,10,Female,70.0,Same Grade
Riley Brown,10,Female,70.0,Same Grade
Morgan Moore,10,Male,65.0,Same Grade
Alex Williams,10,Female,65.0,Same Grade
Taylor Williams,10,Non-Binary,65.0,Same Grade
Reese Miller,11,Non-Binary,85.0,Different Grade
Alex Jones,11,Male,80.0,Different Grade
Taylor Moore,11,Female,80.0,Different Grade
Jamie Davis,9,Male,80.0,Different Grade
Avery Jones,9,Female,80.0,Different Grade
Casey Moore,10,Female,80.0,Same Gender
Taylor Moore,11,Female,80.0,Same Gender
Avery Jones,9,Female,80.0,Same Gender
Quinn Brown,10,Female,75.0,Same Gender
Avery Smith,9,Female,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Miller,11,Female,50.0,Most Opposite
Avery Smith,11,Non-Binary,50.0,Most Opposite
