Name,Grade,Percent,Gender,Category
Quinn Johnson,9,Male,70.0,Same Grade
Quinn Smith,9,Non-Binary,70.0,Same Grade
Taylor Taylor,9,Male,65.0,Same Grade
Casey Williams,9,Non-Binary,65.0,Same Grade
Avery Jones,9,Female,65.0,Same Grade
Reese Taylor,9,Male,65.0,Same Grade
Alex Davis,9,Non-Binary,60.0,Same Grade
Jordan Davis,9,Female,60.0,Same Grade
Casey Miller,9,Female,60.0,Same Grade
Jamie Davis,9,Male,55.00000000000001,Same Grade
Alex Williams,10,Female,80.0,Different Grade
Jordan Miller,11,Female,75.0,Different Grade
Riley Taylor,10,Female,75.0,Different Grade
Jordan Smith,10,Male,75.0,Different Grade
Avery Smith,11,Non-Binary,75.0,Different Grade
Avery Smith,11,Non-Binary,75.0,Same Gender
Taylor Johnson,12,Non-Binary,75.0,Same Gender
Avery Wilson,12,Non-Binary,75.0,Same Gender
Reese Williams,11,Non-Binary,70.0,Same Gender
Quinn Smith,9,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Casey Moore,10,Female,45.0,Most Opposite
Morgan Williams,11,Non-Binary,45.0,Most Opposite
