Name,Grade,Percent,Gender,Category
Casey Williams,9,Non-Binary,75.0,Same Grade
Quinn Jones,9,Non-Binary,70.0,Same Grade
Jordan Davis,9,Female,70.0,Same Grade
Quinn Johnson,9,Male,70.0,Same Grade
Avery Smith,9,Female,70.0,Same Grade
Taylor Taylor,9,Male,65.0,Same Grade
Jamie Davis,9,Male,65.0,Same Grade
Avery Jones,9,Female,65.0,Same Grade
Reese Taylor,9,Male,65.0,Same Grade
Casey Miller,9,Female,60.0,Same Grade
Avery Wilson,11,Male,80.0,Different Grade
Morgan Taylor,12,Non-Binary,75.0,Different Grade
Alex Williams,10,Female,70.0,Different Grade
Jordan Brown,10,Female,70.0,Different Grade
Casey Smith,12,Non-Binary,70.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Same Gender
Morgan Taylor,12,Non-Binary,75.0,Same Gender
Quinn Jones,9,Non-Binary,70.0,Same Gender
Casey Smith,12,Non-Binary,70.0,Same Gender
Reese Williams,11,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Alex Jones,11,Male,45.0,Most Opposite
Casey Johnson,12,Non-Binary,45.0,Most Opposite
