Name,Grade,Percent,Gender,Category
Taylor Williams,10,Non-Binary,85.0,Same Grade
Casey Moore,10,Female,80.0,Same Grade
Morgan Miller,10,Female,80.0,Same Grade
Morgan Moore,10,Male,75.0,Same Grade
Jordan Brown,10,Female,75.0,Same Grade
Casey Brown,10,Female,70.0,Same Grade
Taylor Taylor,10,Female,70.0,Same Grade
Jamie Miller,10,Male,70.0,Same Grade
Riley Brown,10,Female,70.0,Same Grade
Quinn Brown,10,Female,65.0,Same Grade
Taylor Moore,11,Female,80.0,Different Grade
Casey Johnson,12,Non-Binary,80.0,Different Grade
Morgan Williams,11,Non-Binary,80.0,Different Grade
Alex Davis,9,Non-Binary,75.0,Different Grade
Reese Miller,11,Non-Binary,75.0,Different Grade
Morgan Moore,10,Male,75.0,Same Gender
Jordan Taylor,12,Male,75.0,Same Gender
Alex Jones,11,Male,70.0,Same Gender
Jamie Davis,9,Male,70.0,Same Gender
Jamie Miller,10,Male,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Quinn Jones,9,Non-Binary,45.0,Most Opposite
Alex Williams,10,Female,45.0,Most Opposite
