Name,Grade,Percent,Gender,Category
Avery Wilson,11,Male,80.0,Same Grade
Taylor Miller,11,Female,75.0,Same Grade
Morgan Moore,11,Male,70.0,Same Grade
Reese Williams,11,Non-Binary,70.0,Same Grade
Riley Moore,11,Non-Binary,70.0,Same Grade
Alex Jones,11,Male,65.0,Same Grade
Taylor Moore,11,Female,65.0,Same Grade
Morgan Williams,11,Non-Binary,65.0,Same Grade
Avery Smith,11,Non-Binary,65.0,Same Grade
Jordan Miller,11,Female,55.00000000000001,Same Grade
Quinn Davis,10,Female,85.0,Different Grade
Reese Taylor,9,Male,85.0,Different Grade
Casey Miller,9,Female,80.0,Different Grade
Taylor Taylor,10,Female,75.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Different Grade
Casey Williams,9,Non-Binary,75.0,Same Gender
Taylor Johnson,12,Non-Binary,75.0,Same Gender
Casey Smith,12,Non-Binary,70.0,Same Gender
Reese Williams,11,Non-Binary,70.0,Same Gender
Quinn Smith,9,Non-Binary,70.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Riley Taylor,10,Female,45.0,Most Opposite
Jamie Davis,12,Male,50.0,Most Opposite
