Name,Grade,Percent,Gender,Category
Taylor Taylor,9,Male,80.0,Same Grade
Alex Davis,9,Non-Binary,75.0,Same Grade
Avery Smith,9,Female,75.0,Same Grade
Jamie Davis,9,Male,70.0,Same Grade
Avery Jones,9,Female,70.0,Same Grade
Quinn Johnson,9,Male,65.0,Same Grade
Casey Miller,9,Female,65.0,Same Grade
Casey Williams,9,Non-Binary,60.0,Same Grade
Quinn Jones,9,Non-Binary,55.00000000000001,Same Grade
Jordan Davis,9,Female,55.00000000000001,Same Grade
Reese Miller,11,Non-Binary,85.0,Different Grade
Jordan Taylor,12,Male,85.0,Different Grade
Alex Jones,11,Male,80.0,Different Grade
Casey Johnson,12,Non-Binary,80.0,Different Grade
Morgan Williams,11,Non-Binary,80.0,Different Grade
Jordan Taylor,12,Male,85.0,Same Gender
Taylor Taylor,9,Male,80.0,Same Gender
Alex Jones,11,Male,80.0,Same Gender
Jamie Miller,10,Male,80.0,Same Gender
Jordan Davis,10,Male,75.0,Same Gender
Dylan,12,Male,0.0,Most Opposite
Jordan Miller,11,Female,50.0,Most Opposite
Quinn Jones,9,Non-Binary,55.00000000000001,Most Opposite
